BUSH TURNPIKE STATION		UNIVERSITY OF TEXAS AT DALLAS		DICKERSON & MCCALLUM
--		7:00AM		7:20AM
7:00AM		7:20AM		7:40AM
7:20AM		7:40AM		8:00AM
7:40AM		8:00AM		8:20AM
8:00AM		8:20AM		8:40AM
8:20AM		8:40AM		9:00AM
8:40AM		9:00AM		9:20AM
9:00AM		9:20AM		9:40AM
9:20AM		9:40AM		10:00AM
9:40AM		10:00AM		10:20AM
10:00AM		10:20AM		10:40AM
10:20AM		10:40AM		11:00AM
BUSH TURNPIKE STATION		UNIVERSITY OF TEXAS AT DALLAS		DICKERSON & MCCALLUM
10:40AM		11:00AM		11:20AM
11:00AM		11:20AM		11:40AM
11:20AM		11:40AM		12:00PM
11:40AM		12:00PM		12:20PM
12:00PM		12:20PM		12:40PM
12:20PM		12:40PM		1:00PM
12:40PM		1:00PM		1:20PM
1:00PM		1:20PM		1:40PM
1:20PM		1:40PM		2:00PM
1:40PM		2:00PM		2:20PM
2:00PM		2:20PM		2:40PM
2:20PM		2:40PM		3:00PM
BUSH TURNPIKE STATION		UNIVERSITY OF TEXAS AT DALLAS		DICKERSON & MCCALLUM
2:40PM		3:00PM		3:20PM
3:00PM		3:20PM		3:40PM
3:20PM		3:40PM		4:00PM
3:40PM		4:00PM		4:20PM
4:00PM		4:20PM		4:40PM
4:20PM		4:40PM		5:00PM
4:40PM		5:00PM		5:20PM
5:00PM		5:20PM		5:40PM
5:20PM		5:40PM		6:00PM
5:40PM		6:00PM		6:20PM
6:00PM		6:20PM		6:40PM
6:20PM		6:40PM		7:00PM
BUSH TURNPIKE STATION		UNIVERSITY OF TEXAS AT DALLAS		DICKERSON & MCCALLUM
6:40PM		7:00PM		7:20PM
7:00PM		7:20PM		7:40PM
7:20PM		7:40PM		8:00PM
7:40PM		8:00PM		8:20PM
8:00PM		8:20PM		8:40PM
8:20PM		8:40PM		9:00PM
8:40PM		9:00PM		9:20PM
9:00PM		9:20PM		9:40PM
9:20PM		9:40PM		10:00PM
9:40PM		10:00PM		10:20PM
10:00PM		10:20PM		10:40PM
10:20PM		10:40PM		11:00PM
10:40PM		11:00PM		--
