DICKERSON & MCCALLUM	UNIVERSITY OF TEXAS AT DALLAS	BUSH TURNPIKE STATION
--	7:00	7:20
7:00	7:20	7:40
7:20	7:40	8:00
7:40	8:00	8:20
		
8:00	8:20	8:40
8:20	8:40	9:00
8:40	9:00	9:20
		
9:00	9:20	9:40
9:20	9:40	10:00
9:40	10:00	10:20
		
10:00	10:20	10:40
10:20	10:40	11:00
10:40	11:00	11:20
		
DICKERSON & MCCALLUM	UNIVERSITY OF TEXAS AT DALLAS	BUSH TURNPIKE STATION
		
11:00	11:20	11:40
11:20	11:40	12:00
11:40	12:00	12:20
		
12:00	12:20	12:40
12:20	12:40	1:00
12:40	1:00	1:20
		
1:00	1:20	1:40
1:20	1:40	2:00
1:40	2:00	2:20
		
2:00	2:20	2:40
2:20	2:40	3:00
2:40	3:00	3:20
		
DICKERSON & MCCALLUM	UNIVERSITY OF TEXAS AT DALLAS	BUSH TURNPIKE STATION
		
3:00	3:20	3:40
3:20	3:40	4:00
3:40	4:00	4:20
		
4:00	4:20	4:40
4:20	4:40	5:00
4:40	5:00	5:20
		
5:00	5:20	5:40
5:20	5:40	6:00
5:40	6:00	6:20
		
6:00	6:20	6:40
6:20	6:40	7:00
6:40	7:00	7:20
		
DICKERSON & MCCALLUM	UNIVERSITY OF TEXAS AT DALLAS	BUSH TURNPIKE STATION
		
7:00	7:20	7:40
7:20	7:40	8:00
7:40	8:00	8:20
		
8:00	8:20	8:40
8:20	8:40	9:00
8:40	9:00	9:20
		
9:00	9:20	9:40
9:20	9:40	10:00
9:40	10:00	10:20
		
10:00	10:20	10:40
10:20	10:40	11:00
10:40	11:00	--
